Date,Time,StationName,StationCode,Latitude,Longitude,GroupCode,SampleId,SampleDepth,Air temperature (AT.1),Air temperature (AT.1) Code,Air temperature (AT.1) Problem,Air temperature (AT.1) Qualifier,Air temperature (AT.1) Tier,Air temperature (AT.1) Units,Air temperature (AT.2),Air temperature (AT.2) Code,Air temperature (AT.2) Problem,Air temperature (AT.2) Qualifier,Air temperature (AT.2) Tier,Air temperature (AT.2) Units,Air temperature (AT.5),Air temperature (AT.5) Code,Air temperature (AT.5) Problem,Air temperature (AT.5) Qualifier,Air temperature (AT.5) Tier,Air temperature (AT.5) Units,Bacteria (E.Coli) (ECOLI.1),Bacteria (E.Coli) (ECOLI.1) Code,Bacteria (E.Coli) (ECOLI.1) Problem,Bacteria (E.Coli) (ECOLI.1) Qualifier,Bacteria (E.Coli) (ECOLI.1) Tier,Bacteria (E.Coli) (ECOLI.1) Units,Bacteria (E.Coli) (ECOLI.4),Bacteria (E.Coli) (ECOLI.4) Code,Bacteria (E.Coli) (ECOLI.4) Problem,Bacteria (E.Coli) (ECOLI.4) Qualifier,Bacteria (E.Coli) (ECOLI.4) Tier,Bacteria (E.Coli) (ECOLI.4) Units,Dissolved oxygen (DO.1),Dissolved oxygen (DO.1) Code,Dissolved oxygen (DO.1) Problem,Dissolved oxygen (DO.1) Qualifier,Dissolved oxygen (DO.1) Tier,Dissolved oxygen (DO.1) Units,Dissolved oxygen (DO.2),Dissolved oxygen (DO.2) Code,Dissolved oxygen (DO.2) Problem,Dissolved oxygen (DO.2) Qualifier,Dissolved oxygen (DO.2) Tier,Dissolved oxygen (DO.2) Units,pH (PH.1),pH (PH.1) Code,pH (PH.1) Problem,pH (PH.1) Qualifier,pH (PH.1) Tier,pH (PH.1) Units,pH (PH.3),pH (PH.3) Code,pH (PH.3) Problem,pH (PH.3) Qualifier,pH (PH.3) Tier,pH (PH.3) Units,pH (PH.7),pH (PH.7) Code,pH (PH.7) Problem,pH (PH.7) Qualifier,pH (PH.7) Tier,pH (PH.7) Units,Salinity (SA.1),Salinity (SA.1) Code,Salinity (SA.1) Problem,Salinity (SA.1) Qualifier,Salinity (SA.1) Tier,Salinity (SA.1) Units,Total Depth (TD.1),Total Depth (TD.1) Code,Total Depth (TD.1) Problem,Total Depth (TD.1) Qualifier,Total Depth (TD.1) Tier,Total Depth (TD.1) Units,Water Clarity (WC.1),Water Clarity (WC.1) Code,Water Clarity (WC.1) Problem,Water Clarity (WC.1) Qualifier,Water Clarity (WC.1) Tier,Water Clarity (WC.1) Units,Water Clarity (WC.4),Water Clarity (WC.4) Code,Water Clarity (WC.4) Problem,Water Clarity (WC.4) Qualifier,Water Clarity (WC.4) Tier,Water Clarity (WC.4) Units,Water Clarity (WC.6),Water Clarity (WC.6) Code,Water Clarity (WC.6) Problem,Water Clarity (WC.6) Qualifier,Water Clarity (WC.6) Tier,Water Clarity (WC.6) Units,Water temperature (WT.1),Water temperature (WT.1) Code,Water temperature (WT.1) Problem,Water temperature (WT.1) Qualifier,Water temperature (WT.1) Tier,Water temperature (WT.1) Units,Water temperature (WT.2),Water temperature (WT.2) Code,Water temperature (WT.2) Problem,Water temperature (WT.2) Qualifier,Water temperature (WT.2) Tier,Water temperature (WT.2) Units,Water temperature (WT.3),Water temperature (WT.3) Code,Water temperature (WT.3) Problem,Water temperature (WT.3) Qualifier,Water temperature (WT.3) Tier,Water temperature (WT.3) Units,Cloud Cover,Other Comments,Other Conditions,Rainfall Within 24 Hours,Rainfall Within 48 Hours,Rainfall,Sea State,Stream Flow,Tidal Stage,Water Color Description,Water Color,Water Odor Description,Water Odor,Water Surfaces,Weather Conditions Day Before Yesterday,Weather Conditions Today,Weather Conditions Yesterday,Wind Direction,Wind Speed,ModifiedDate,Comments
1/30/2020,16:30:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,4.1,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,,,,,,,,,,,,,6.63,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,WC.4,,,1,cm,,,,,,,,,,,,,5.4,WT.2,,,2,deg C,,,,,,,,,Bubbles,0,0,3556 mm,,High,,normal,,,,Ripple,,Partly cloudy,,,,2020-02-24T15:37:48.767,
2/17/2019,11:30:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,3,AT.2,,,2,deg C,,,,,,,,,,,,,,,,,,,12.4,DO.1,,,2,mg/L,,,,,,,7.06,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,4.9,WT.2,,,2,deg C,,,,,,,,,,,0,11.43,,Normal,,,Normal,,,,,Overcast,Overcast,,,2019-03-03T10:58:11.887,
2/17/2019,11:30:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11.43,,Normal,,,Normal,,,,,Overcast,Overcast,,,2019-03-03T10:58:11.887,
2/18/2019,14:24:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,9,AT.2,,,2,deg C,,,,,,,,,,,,,,,,,,,11,DO.1,,,2,mg/L,,,,,,,7.03,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,0.28,TD.1,,,1,M,,,,,,,51,WC.4,,,1,cm,,,,,,,,,,,,,7.3,WT.2,,,2,deg C,,,,,,,,,,,,,,High,,,Normal,,,Ripple,,Partly cloudy,,,,2020-02-11T16:49:19.55,"meter calibrated properly, just recorded calibrations wrong"
2/18/2019,14:24:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,Normal,,,Ripple,,Partly cloudy,,,,2020-02-11T16:49:19.55,"meter calibrated properly, just recorded calibrations wrong"
2/20/2022,9:10:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,-2.8,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,11.8,DO.1,,,2,mg/L,,,,,,,6.87,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,1.7,WT.2,,,2,deg C,,,,,,,,,,0,0,3.05,,Normal,,,Normal,,,Calm,,Sunny,,,,2022-02-23T15:09:09.483,
2/20/2022,9:10:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.05,,Normal,,,Normal,,,Calm,,Sunny,,,,2022-02-23T15:09:09.483,
2/21/2020,16:30:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,2.4,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,,,,,,,,,,,,,6.69,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,WC.4,,,1,cm,,,,,,,,,,,,,6.4,WT.2,,,2,deg C,,,,,,,,,,0,50.8,152.4,,Normal,,normal,,,,Ripple,,,,,,2020-02-24T15:42:12.333,
2/23/2020,10:11:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,12.4,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,12.2,DO.1,,,2,mg/L,,,,,,,7.57,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,5.6,WT.2,,,2,deg C,,,,,,,,,,0,0,0.76,,Normal,,,Normal,,,Ripple,,Sunny,,,,2020-04-03T18:42:32.02,
2/23/2020,10:11:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.76,,Normal,,,Normal,,,Ripple,,Sunny,,,,2020-04-03T18:42:32.02,
2/23/2021,15:30:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,13.7,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,10.8,DO.1,,,2,mg/L,,,,,,,6.64,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,0.2,TD.1,,,1,M,,,,,,,43,WC.4,,,1,cm,,,,,,,,,,,,,6.4,WT.2,,,2,deg C,,,,,,,,,,0,0,34.29,,High,,,Normal,,,Ripple,,Partly cloudy,,,,2021-02-26T01:36:44.837,
2/23/2021,15:30:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,34.29,,High,,,Normal,,,Ripple,,Partly cloudy,,,,2021-02-26T01:36:44.837,
3/16/2019,9:30:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,7.5,AT.2,,,2,deg C,,,,,,,75,ECOLI.1,,,1,CFU,,,,,,,12,DO.1,,,2,mg/L,,,,,,,7,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,9.5,WT.2,,,2,deg C,,,,,,,,,,,0,12.192,,Normal,,green,Abnormal,,,,,Sunny,Overcast,,,2019-05-04T10:13:54.737,
3/16/2019,9:30:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.192,,Normal,,green,Abnormal,,,,,Sunny,Overcast,,,2019-05-04T10:13:54.737,
3/18/2019,16:00:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,10.7,AT.2,,,2,deg C,,,,,,,,,,,,,,,,,,,11.2,DO.1,,,2,mg/L,,,,,,,7.09,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,0.3,TD.1,,,1,M,,,,,,,63.2,WC.4,,,1,cm,,,,,,,,,,,,,10.9,WT.2,,,2,deg C,,,,,,,,,,,0,0,,Normal,,Clear/Normal,,,,Ripple,,Sunny,,,,2020-02-19T16:33:47.87,"Doug Britt - also 2.5 hours.  pH meter calibrated properly, just recorded calibrations wrong."
3/18/2019,16:00:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,2,0.3,,,,,,,10.7,AT.2,,,2,deg C,,,,,,,,,,,,,,,,,,,11.2,DO.1,,,2,mg/L,,,,,,,7.05,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Normal,,Clear/Normal,,,,Ripple,,Sunny,,,,2020-02-19T16:33:47.87,"Doug Britt - also 2.5 hours.  pH meter calibrated properly, just recorded calibrations wrong."
3/19/2019,16:35:00,NR-7,NRPA.NR-7,36.740257,-76.579794,NRPA,1,0.3,,,,,,,,,,,,,8.9,AT.5,,,1,deg C,320,ECOLI.1,,,1,CFU,,,,,,,,,,,,,9.29,DO.2,,,2,mg/L,,,,,,,,,,,,,7,PH.7,,,1,SU,0,SA.1,,,1,ppt,5.6,TD.1,,,1,M,0.6,WC.1,,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,13.6,WT.3,,,2,deg C,,,,0,,,,,,Brown,,Normal,,,,Sunny,,,,2020-02-18T10:20:08.637,
3/19/2022,11:05:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,19.4,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,10,DO.1,,,2,mg/L,,,,,,,7.01,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,13.8,WT.2,,,2,deg C,,,,,,,,,,0,2.54,13.72,,Normal,,,Normal,,,Calm,,Partly cloudy,,,,2022-03-21T18:13:20.333,
3/19/2022,11:05:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,19.2,AT.2,,,2,deg C,,,,,,,33.33,ECOLI.1,,,1,CFU,,,,,,,9.8,DO.1,,,2,mg/L,,,,,,,7.02,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,13.9,WT.2,,,2,deg C,,,,,,,,,,0,2.54,13.72,,Normal,,,Normal,,,Calm,,Partly cloudy,,,,2022-03-21T18:13:20.333,
3/23/2021,18:45:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,18.2,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,9.2,DO.1,,,2,mg/L,,,,,,,6.7,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,0.2,TD.1,,,1,M,,,,,,,82,WC.4,,,1,cm,,,,,,,,,,,,,13.6,WT.2,,,2,deg C,,,,,,,,Floating/decaying algae with foam,Foam,0,0,10.66,,Normal,,Clear,Normal,,,Ripple,,Partly cloudy,,,,2021-12-14T19:29:57.187,
3/23/2021,18:45:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,2,0.3,,,,,,,18.2,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,9,DO.1,,,2,mg/L,,,,,,,6.7,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,0.2,TD.1,,,1,M,,,,,,,81.5,WC.4,,,1,cm,,,,,,,,,,,,,13.6,WT.2,,,2,deg C,,,,,,,,Floating/decaying algae with foam,Foam,0,0,10.66,,Normal,,Clear,Normal,,,Ripple,,Partly cloudy,,,,2021-12-14T19:29:57.187,
3/26/2020,12:50:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,16.5,AT.2,,,2,deg C,,,,,,,33,ECOLI.1,,,1,CFU,,,,,,,11.4,DO.1,,,2,mg/L,,,,,,,6.92,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,13.3,WT.2,,,2,deg C,,,,,,,,,,8.64,10.67,26.16,,Normal,,,Normal,,,,,Partly cloudy,Overcast,,,2020-04-04T14:32:58.313,
3/26/2020,12:50:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,15.8,AT.2,,,2,deg C,,,,,,,33,ECOLI.1,,,1,CFU,,,,,,,10.8,DO.1,,,2,mg/L,,,,,,,6.93,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,13.5,WT.2,,,2,deg C,,,,,,,,,,8.64,10.67,26.16,,Normal,,,Normal,,,,,Partly cloudy,Overcast,,,2020-04-04T14:32:58.313,
4/8/2019,13:08:00,NR-7,NRPA.NR-7,36.740257,-76.579794,NRPA,1,0.3,,,,,,,,,,,,,27.2,AT.5,,,1,deg C,40,ECOLI.1,,,1,CFU,,,,,,,,,,,,,7.5,DO.2,,,2,mg/L,,,,,,,,,,,,,7,PH.7,,,1,SU,0,SA.1,,,1,ppt,12,TD.1,,,1,M,0.4,WC.1,,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,16.11,WT.3,,,2,deg C,,,,0,,,,,,Brown,,Normal,,,,Sunny,,,,2020-02-18T10:43:26.453,
4/15/2021,16:48:00,NR-7,NRPA.NR-7,36.740257,-76.579794,NRPA,1,0.3,,,,,,,,,,,,,18.89,AT.5,,,1,deg C,2260,ECOLI.1,,,1,CFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SA.1,,,1,ppt,6.9,TD.1,,,1,M,0.8,WC.1,,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,16.6,WT.3,,,2,deg C,,,,0,,,,,,Brown,,Normal,,,,,,,,2022-01-03T11:30:24.077,"DO sensor broken, measurements not taken."
4/20/2020,14:20:00,NR-7,NRPA.NR-7,36.740257,-76.579794,NRPA,1,0.3,,,,,,,,,,,,,17.7,AT.5,,,1,deg C,220,ECOLI.1,,,1,CFU,,,,,,,,,,,,,8.6,DO.2,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,3.5,TD.1,,,1,M,0.5,WC.1,,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,16.77,WT.3,,,2,deg C,,,,0,,,,,,Brown,,Normal,,,,,,,,2021-03-16T10:57:28.667,
